Player,Matches,BattingInnings,TotalBallFaced,TotalRuns,NotOuts,BattingAvg,Bestscore,StrikeRate,BowlingInnings,TotalBallBowled,TotalWickets,BestWickets,TotalRunsConceded,BowlingAvg,TotalOverBowled,EconomyRate
RJ Quiney,7,7,105,103,0,14.714285714285714,51,98.09523809523807,0,105,0,0,0,0.0,0.0,0.0
RK Bhui,2,2,18,7,0,3.5,7,38.88888888888889,0,18,0,0,0,0.0,0.0,0.0
RK Singh,15,15,204,251,3,20.916666666666668,42,123.03921568627452,0,204,0,0,0,0.0,0.0,0.0
RM Patidar,11,11,297,404,1,40.4,112,136.02693602693603,0,297,0,0,0,0.0,0.0,0.0
RN ten Doeschate,23,21,238,326,4,19.176470588235293,70,136.9747899159664,10,238,3,1,94,31.33333333333333,13.833333333333334,6.795180722891566
RP Meredith,13,1,1,0,0,0.0,0,0.0,13,1,14,3,412,29.428571428571427,48.16666666666666,8.55363321799308
RP Singh,82,28,78,52,13,3.466666666666667,10,66.66666666666666,82,78,100,5,2417,24.17,312.3333333333333,7.738527214514408
RR Bhatkal,1,1,2,0,-1,0.0,0,0.0,1,2,0,0,35,inf,2.0,17.5
RR Bose,1,0,0,0,0,0.0,0,0.0,1,0,0,0,24,inf,2.0,12.0
RR Pant,97,97,2000,2851,12,33.54117647058823,128,142.55,0,2000,0,0,0,0.0,0.0,0.0
RR Powar,26,9,64,67,6,22.33333333333333,28,104.6875,26,64,15,2,538,35.86666666666667,73.83333333333333,7.286681715575622
RR Raje,10,5,18,20,4,20.0,11,111.11111111111111,10,18,7,2,214,30.571428571428573,24.0,8.916666666666666
RR Rossouw,5,5,51,53,-1,8.833333333333334,24,103.921568627451,0,51,0,0,0,0.0,0.0,0.0
RR Sarwan,4,4,78,73,1,24.33333333333333,31,93.5897435897436,0,78,0,0,0,0.0,0.0,0.0
RS Bopara,24,22,468,531,3,27.94736842105263,84,113.46153846153844,14,468,13,3,301,23.153846153846157,35.5,8.47887323943662
RS Gavaskar,2,1,8,2,0,2.0,2,25.0,1,8,0,0,8,inf,1.0,8.0
RS Sodhi,1,1,2,4,1,inf,4,200.0,0,2,0,0,0,0.0,0.0,0.0
RT Ponting,9,9,129,91,1,11.375,28,70.54263565891473,0,129,0,0,0,0.0,0.0,0.0
RV Gomez,13,9,53,50,2,7.142857142857143,26,94.33962264150944,9,53,6,2,130,21.666666666666668,16.166666666666668,8.041237113402062
RV Patel,3,3,32,31,1,15.5,18,96.875,1,32,0,0,22,inf,3.333333333333333,6.6
RV Uthappa,197,197,3927,4954,13,26.92391304347826,88,126.15227909345556,0,3927,0,0,0,0.0,0.0,0.0
RW Price,1,0,0,0,0,0.0,0,0.0,1,0,0,0,33,inf,3.0,11.0
Ramandeep Singh,5,4,42,45,2,22.5,14,107.14285714285714,3,42,6,3,55,9.166666666666666,6.833333333333333,8.048780487804878
Rashid Khan,92,41,214,313,13,11.178571428571429,40,146.26168224299064,92,214,119,5,2411,20.26050420168067,372.0,6.481182795698925
Rasikh Salam,3,2,10,12,1,12.0,7,120.0,3,10,0,0,70,inf,8.5,8.235294117647058
Ravi Bishnoi,37,4,18,8,2,4.0,6,44.44444444444444,37,18,41,3,1083,26.414634146341463,146.33333333333334,7.400911161731207
S Anirudha,12,12,121,136,4,17.0,64,112.39669421487604,0,121,0,0,0,0.0,0.0,0.0
S Aravind,38,10,59,59,7,19.666666666666668,14,100.0,38,59,48,4,1057,22.02083333333333,131.33333333333334,8.048223350253807
S Badree,12,5,25,13,0,2.6,8,52.0,12,25,11,4,329,29.90909090909091,43.833333333333336,7.505703422053232
S Badrinath,65,65,1245,1441,17,30.02083333333333,71,115.7429718875502,0,1245,0,0,0,0.0,0.0,0.0
S Chanderpaul,3,3,33,25,0,8.333333333333334,16,75.75757575757575,0,33,0,0,0,0.0,0.0,0.0
S Dhawan,205,205,5083,6244,26,34.88268156424581,106,122.84084202242772,6,5083,4,1,72,18.0,8.166666666666666,8.816326530612246
S Dube,34,33,541,688,5,24.571428571428573,95,127.17190388170056,13,541,5,3,176,35.2,18.5,9.513513513513514
S Gopal,48,22,173,180,9,13.846153846153848,24,104.04624277456648,48,173,50,4,1291,25.82,159.66666666666666,8.085594989561587
S Kaul,55,9,36,20,6,6.666666666666667,7,55.55555555555556,55,36,63,4,1772,28.126984126984127,206.33333333333331,8.588045234248789
S Kaushik,10,1,1,0,0,0.0,0,0.0,10,1,6,3,304,50.66666666666666,35.0,8.685714285714285
S Ladda,9,2,10,0,0,0.0,0,0.0,9,10,5,2,225,45.0,23.5,9.574468085106384
S Lamichhane,9,1,1,0,0,0.0,0,0.0,9,1,14,3,297,21.214285714285715,35.166666666666664,8.445497630331754
S Midhun,1,0,0,0,0,0.0,0,0.0,1,0,0,0,29,inf,2.1666666666666665,13.384615384615383
S Nadeem,71,20,88,39,4,2.4375,6,44.31818181818182,70,88,54,3,1800,33.333333333333336,240.66666666666663,7.4792243767313025
S Narwal,7,4,29,37,0,9.25,23,127.58620689655172,6,29,6,4,203,33.833333333333336,18.83333333333333,10.778761061946904
S Rana,8,8,82,91,3,18.2,19,110.97560975609755,3,82,0,0,18,inf,2.6666666666666665,6.75
S Randiv,8,1,4,2,0,2.0,2,50.0,8,4,8,2,223,27.875,30.0,7.433333333333334
S Sandeep Warrier,5,0,0,0,0,0.0,0,0.0,5,0,2,2,135,67.5,17.666666666666668,7.641509433962264
S Sohal,20,20,311,368,2,20.444444444444443,62,118.32797427652731,0,311,0,0,0,0.0,0.0,0.0
S Sreesanth,44,12,57,34,9,11.333333333333334,15,59.64912280701754,44,57,43,3,1221,28.3953488372093,157.83333333333334,7.736008447729672
S Sriram,2,2,38,31,0,15.5,27,81.57894736842105,2,38,0,0,49,inf,3.0,16.333333333333332
S Tyagi,14,1,4,3,1,inf,3,75.0,14,4,6,2,304,50.66666666666666,36.66666666666666,8.290909090909091
S Vidyut,8,8,115,145,0,18.125,54,126.08695652173914,1,115,1,1,22,22.0,2.1666666666666665,10.153846153846157
SA Abbott,3,3,18,22,1,11.0,14,122.22222222222224,3,18,1,1,104,104.0,9.833333333333334,10.576271186440678
SA Asnodkar,19,19,352,423,0,22.26315789473684,60,120.17045454545456,0,352,0,0,0,0.0,0.0,0.0
SA Yadav,109,108,1973,2644,20,30.045454545454547,82,134.0091231626964,1,1973,0,0,8,inf,1.0,8.0
SB Bangar,10,7,58,49,1,8.166666666666666,17,84.48275862068965,9,58,6,2,221,36.833333333333336,25.5,8.666666666666666
SB Jakati,57,5,30,28,3,14.0,13,93.33333333333331,57,30,50,4,1474,29.48,183.5,8.032697547683924
SB Joshi,4,2,16,6,0,3.0,3,37.5,4,16,1,1,82,82.0,9.166666666666666,8.945454545454545
SB Styris,12,10,134,131,3,18.714285714285715,36,97.76119402985076,11,134,9,3,278,30.88888888888889,37.0,7.513513513513513
SB Wagh,8,2,3,2,0,1.0,2,66.66666666666666,8,3,5,3,147,29.4,18.0,8.166666666666666
SC Ganguly,57,56,1326,1349,2,24.98148148148148,91,101.73453996983407,20,1326,12,3,370,30.83333333333333,46.66666666666666,7.928571428571429
SC Kuggeleijn,2,0,0,0,0,0.0,0,0.0,2,0,2,2,71,35.5,8.333333333333334,8.52
SD Chitnis,9,8,92,99,1,14.142857142857142,38,107.6086956521739,2,92,2,2,62,31.0,6.333333333333333,9.789473684210527
SD Lad,1,1,13,15,0,15.0,15,115.38461538461536,0,13,0,0,0,0.0,0.0,0.0
SE Bond,8,1,2,1,0,1.0,1,50.0,8,2,9,2,225,25.0,31.83333333333333,7.068062827225131
SE Marsh,69,69,1913,2489,4,38.292307692307695,115,130.10977522216413,0,1913,0,0,0,0.0,0.0,0.0
SE Rutherford,9,9,107,106,2,15.142857142857142,28,99.06542056074768,6,107,1,1,60,60.0,7.666666666666667,7.826086956521739
SJ Srivastava,14,4,5,5,3,5.0,3,100.0,14,5,15,2,444,29.6,51.0,8.705882352941176
SK Raina,200,200,4177,5536,32,32.95238095238095,100,132.53531242518554,69,4177,30,2,1139,37.96666666666667,155.0,7.348387096774194
SK Trivedi,76,14,61,42,6,5.25,9,68.85245901639344,75,61,73,4,1944,26.63013698630137,259.5,7.491329479768786
SK Warne,55,27,219,198,8,10.421052631578949,34,90.41095890410958,54,219,60,4,1465,24.416666666666668,203.83333333333331,7.187244480784955
SL Malinga,122,20,103,88,8,7.333333333333333,17,85.43689320388349,122,103,188,5,3486,18.54255319148936,495.6666666666667,7.032952252858103
SM Boland,2,0,0,0,0,0.0,0,0.0,2,0,3,3,56,18.666666666666668,7.166666666666667,7.813953488372093
